t avg best
0 45 26.60 
1 50 28.45 
2 50 29.76 
3 62 30.89 
4 62 32.08 
5 62 33.05 
6 62 33.89 
7 62 35.09 
8 62 35.97 
9 62 37.21 
10 62 38.00 
11 62 39.31 
12 62 40.32 
13 62 40.39 
14 62 40.68 
15 62 40.97 
16 62 41.90 
17 62 42.82 
18 62 43.16 
19 62 43.50 
20 62 45.42 
21 62 47.14 
22 62 49.34 
23 62 50.68 
24 62 53.21 
25 62 53.98 
26 62 54.75 
27 62 56.52 
28 62 56.50 
29 62 56.32 
30 62 56.66 
31 62 57.39 
32 62 57.11 
33 62 56.25 
34 62 57.11 
35 62 56.50 
36 62 56.34 
37 62 56.85 
38 62 56.33 
39 62 56.31 
40 62 56.17 
41 62 56.44 
42 62 57.45 
43 62 56.25 
44 62 56.13 
45 62 56.23 
46 62 55.74 
47 62 55.66 
48 62 55.57 
49 62 56.64 
50 62 56.75 
51 62 56.05 
52 62 56.57 
53 62 56.28 
54 62 56.46 
55 62 57.15 
56 62 57.55 
57 62 57.08 
58 62 56.90 
59 62 56.63 
60 62 55.82 
61 62 57.16 
62 62 55.12 
63 62 56.21 
64 62 55.98 
65 62 55.90 
66 62 56.85 
67 62 55.62 
68 62 55.96 
69 62 56.24 
70 62 56.71 
71 62 56.97 
72 62 56.43 
73 62 56.90 
74 62 56.91 
75 62 57.01 
76 62 56.35 
77 62 56.96 
78 62 56.08 
79 62 56.87 
80 62 56.41 
81 62 56.29 
82 62 56.29 
83 62 55.99 
84 62 55.55 
85 62 56.75 
86 62 56.46 
87 62 56.89 
88 62 57.21 
89 62 56.71 
90 62 56.20 
91 62 56.38 
92 62 56.06 
93 62 56.36 
94 62 56.54 
95 62 55.80 
96 62 56.82 
97 62 56.66 
98 62 56.42 
99 62 57.22 
100 62 56.19 
101 62 56.20 
102 62 56.08 
103 62 57.21 
104 62 57.10 
105 62 56.72 
106 62 56.11 
107 62 56.16 
108 62 56.27 
109 62 56.13 
110 62 56.24 
111 62 55.96 
112 62 57.30 
113 62 57.11 
114 62 55.84 
115 62 56.31 
116 62 56.67 
117 62 56.83 
118 62 56.89 
119 62 56.79 
120 62 57.29 
121 62 56.36 
122 62 56.64 
123 62 56.56 
124 62 55.99 
125 62 56.30 
126 62 56.65 
127 62 56.34 
128 62 56.92 
129 62 56.68 
130 62 57.49 
131 62 56.80 
132 62 56.01 
133 62 56.42 
134 62 55.89 
135 62 56.34 
136 62 56.47 
137 62 56.35 
138 62 55.46 
139 62 56.23 
140 62 55.77 
141 62 55.93 
142 62 55.89 
143 62 56.12 
144 62 56.18 
145 62 55.91 
146 62 55.88 
147 62 56.67 
148 62 56.77 
149 62 57.08 
150 62 56.35 
151 62 56.96 
152 62 56.65 
153 62 56.24 
154 62 56.73 
155 62 56.05 
156 62 56.80 
157 62 56.75 
158 62 56.47 
159 62 56.50 
160 62 56.41 
161 62 56.34 
162 62 56.74 
163 62 56.76 
164 62 56.72 
165 62 56.37 
166 62 57.08 
167 62 57.05 
168 62 57.03 
169 62 56.15 
170 62 56.03 
171 62 56.85 
172 62 57.13 
173 62 56.78 
174 62 56.71 
175 62 56.76 
176 62 56.58 
177 62 57.76 
178 62 57.29 
179 62 55.57 
180 62 56.82 
181 62 56.43 
182 62 56.56 
183 62 55.26 
184 62 55.91 
185 62 55.90 
186 62 55.86 
187 62 56.98 
188 62 56.80 
189 62 56.29 
190 62 56.86 
191 62 55.62 
192 62 56.47 
193 62 56.46 
194 62 56.26 
195 62 56.30 
196 62 56.03 
197 62 57.20 
198 62 56.55 
199 62 55.97 
200 62 56.60 
201 62 56.65 
202 62 57.15 
203 62 56.47 
204 62 56.39 
205 62 56.53 
206 62 56.63 
207 62 55.93 
208 62 55.62 
209 62 56.53 
210 62 55.94 
211 62 57.12 
212 62 56.54 
213 62 57.31 
214 62 57.21 
215 62 56.88 
216 62 56.89 
217 62 57.28 
218 62 57.13 
219 62 56.89 
220 62 55.83 
221 62 55.84 
222 62 56.34 
223 62 57.04 
224 62 57.15 
225 62 56.80 
226 62 56.40 
227 62 56.36 
228 62 56.66 
229 62 56.72 
230 62 56.64 
231 62 56.45 
232 62 56.14 
233 62 56.48 
234 62 57.06 
235 62 56.57 
236 62 57.13 
237 62 56.27 
238 62 56.46 
239 62 56.28 
240 62 56.00 
241 62 56.18 
242 62 55.90 
243 62 56.37 
244 62 56.49 
245 62 56.04 
246 62 56.54 
247 62 56.54 
248 62 57.25 
249 62 56.11 
250 62 57.24 
251 62 57.13 
252 62 56.88 
253 62 55.77 
254 62 56.24 
255 62 55.56 
256 62 55.87 
257 62 57.00 
258 62 56.22 
259 62 56.35 
260 62 56.79 
261 62 56.57 
262 62 55.80 
263 62 56.45 
264 62 56.37 
265 62 56.49 
266 62 57.23 
267 62 56.76 
268 62 56.41 
269 62 56.03 
270 62 56.83 
271 62 56.28 
272 62 56.57 
273 62 56.49 
274 62 56.91 
275 62 57.09 
276 62 57.21 
277 62 56.29 
278 62 55.96 
279 62 56.39 
280 62 56.65 
281 62 56.58 
282 62 56.38 
283 62 57.15 
284 62 56.46 
285 62 56.62 
286 62 57.06 
287 62 56.91 
288 62 56.64 
289 62 57.50 
290 62 56.54 
291 62 56.09 
292 62 56.16 
293 62 56.58 
294 62 55.66 
295 62 56.21 
296 62 56.34 
297 62 55.92 
298 62 56.16 
299 62 55.95 
300 62 55.96 
301 62 55.61 
302 62 55.95 
303 62 56.83 
304 62 56.86 
305 62 56.58 
306 62 56.81 
307 62 57.50 
308 62 56.41 
309 62 55.77 
310 62 56.14 
311 62 55.78 
312 62 55.66 
313 62 56.52 
314 62 56.29 
315 64 56.14 
316 64 56.93 
317 64 56.45 
